time_step,day_of_year,day_length,thermTime,absorbed_light,tot_assimilates,tot_biomass,tot_leafBiomass,tot_stemBiomass,tot_yield,nb_phytomers,nb_leaves,nb_trusses,height,tot_leafArea
42,301,16.0,699.6222190856934,18.87478982950716,70844.03433086137,13948.912795339333,10415.705559423344,3427.9380339164763,103.81120458345525,12,11,1,0.5278186202049255,0.24540370488419733
43,302,16.0,716.6513862609863,19.43861839061973,73500.28227337505,15498.607221850822,11548.484535200938,3805.4210327358624,143.1528421476928,12,11,1,0.5597518086433411,0.2670713496333881
44,303,16.0,733.9222202301025,22.02729804893898,82992.4445198813,17252.26511407706,12823.554408760709,4231.497663330958,195.56462737492507,13,11,2,0.5923963785171509,0.2892090870800748
45,304,16.0,751.188886642456,24.08532115378552,90788.91758803454,19166.81839320211,14206.643219747173,4695.852368561011,262.5686107042294,13,11,2,0.6248044967651367,0.3113742543644787
46,305,16.0,768.0263862609863,26.199633047512208,98631.62623053201,21241.227075729515,15694.379282177018,5198.359375768276,346.62232797304387,14,12,2,0.6565259099006653,0.33337298010913585
47,306,16.0,785.2430534362793,26.972520214888192,102249.51364869536,23372.990174625196,17210.625898769867,5714.2720440041285,446.1136001795009,14,12,2,0.6887029409408569,0.3557567466870659
48,307,16.0,802.3222198486328,30.545913009394205,114678.47077388444,25770.852462786374,18900.669813343826,6294.226140316825,573.8535165955742,14,12,2,0.7203697562217712,0.3777649749330193
49,308,16.0,819.3680534362793,32.9652303679495,123548.69388444707,28346.75234456579,20698.234538076948,6917.0541117184675,729.2290474096374,15,13,2,0.7521945834159851,0.3999327550115478
50,309,16.0,836.3305530548096,33.81713370759026,127048.13406349104,30970.81262806476,22509.840186777925,7551.511466928282,907.0937335724334,15,13,2,0.7837851047515869,0.42174301700222727
51,310,16.0,853.4097194671631,34.42674153845244,130183.99714212543,33633.94965057677,24327.035007502756,8195.601646283567,1108.8123305897775,16,14,2,0.8159556984901428,0.44388216884867165
52,311,16.0,870.501386642456,33.52079985252429,127993.68549330256,36209.28735316019,26062.190780521927,8818.83065594684,1325.6369141885473,16,14,2,0.8481329679489136,0.46578969494374384
53,312,16.0,887.5722198486328,33.53780939887713,129000.07507337176,38774.21308240114,27766.075546018885,9440.385579821137,1564.995376121132,17,14,3,0.8805986642837524,0.48740228205637676
54,313,16.0,904.4430522918701,33.34445182984928,129139.79779160596,41308.5286252303,29423.065652030455,10055.81617835713,1826.7639316900704,17,14,3,0.9125537872314453,0.5084801672004398
55,314,16.0,921.4763851165771,34.92417859143674,135415.4022339245,43958.74395818066,31124.666895120437,10701.171266486219,2129.890172462536,18,15,3,0.9449853897094727,0.5299268211852151
56,315,16.0,938.7430515289307,39.696327972433465,151973.3924890971,46968.035637780056,33016.99831940359,11436.46234326068,2511.4072078920294,18,15,3,0.9775676727294922,0.551411744688384
57,316,16.0,955.5722179412842,38.572378555108564,148881.56400597244,49865.17613638722,34797.11408258364,12147.181398625446,2917.5644417500407,18,15,3,1.0089495182037354,0.5720902695477075
58,317,16.0,972.7222175598145,37.4244138649722,146047.37209565938,52658.172180184716,36471.83249184133,12833.05020161229,3349.82810607009,19,16,3,1.0409314632415771,0.5933441161045089
59,318,16.0,989.926383972168,40.37165279748637,156462.79202380398,55663.67386151799,38232.77981455796,13567.119160779117,3860.1554120733913,19,16,3,1.072677731513977,0.6144237583814496
60,319,16.0,1006.8180503845215,41.01907449422349,159130.2949329396,58695.33989013374,39968.58974422957,14300.966364961167,4422.002879226425,20,17,3,1.1039838790893555,0.6353364435215835
61,320,16.0,1023.7222175598145,38.69297724946533,151538.315846281,61509.480367717166,41546.23023631112,14971.657109893333,4987.660828494798,20,17,3,1.1351462602615356,0.6560709401902318
62,321,16.0,1040.6930503845215,39.45697289303151,154797.5158375684,64367.031295868765,43109.985550698155,15644.944987413413,5608.0136913462275,21,17,4,1.1666979789733887,0.6766760117740455
63,322,16.0,1057.6222171783447,42.88522578392872,167201.85314464296,67485.2390521812,44779.14431674099,16366.273561188196,6335.564171257475,21,17,4,1.198063850402832,0.69700093964356
64,323,16.0,1074.863883972168,40.75815041602257,160682.20793669924,70411.69200856226,46306.48642319743,17033.543317837644,7067.245214208769,22,18,4,1.230258584022522,0.7179199228305817
65,324,16.0,1092.0763835906982,44.10471025613511,172585.80981919068,73586.93905606432,47926.69561238289,17742.1146598023,7913.537950462482,22,18,4,1.2622156143188477,0.7386012821231911
66,325,16.0,1109.1305503845215,43.0452445014032,169450.54545384384,76651.11755589514,49446.96796245727,18416.319328520338,8783.071339086411,22,18,4,1.2936028242111206,0.7588726092500107
67,326,16.0,1125.868049621582,46.21413106496767,180827.59769047672,79950.89039506503,51038.92187783456,19129.6714722487,9777.356567614057,23,19,4,1.3245115280151367,0.7789965269959659
68,327,16.0,1142.9513835906982,43.15342362679215,170646.20722963463,82971.76049097114,52456.579706628145,19771.875219506117,10738.199193551498,23,19,4,1.3558080196380615,0.7993478337579681
69,328,16.0,1159.9513835906982,49.482765005567586,192983.87911544286,86490.13694112579,54062.9772978819,20504.722676547128,11917.13764654351,24,20,4,1.3871504068374634,0.8198655692874282
70,329,16.0,1176.8555507659912,46.80972089958966,183930.05431718667,89755.0186084696,55516.411556379266,21171.965382394636,13061.164428030388,24,20,4,1.4181970357894897,0.8401230843177163
71,330,16.0,1193.6222171783447,49.00548814931957,191924.70965805717,93174.76745155008,57000.92328162393,21855.569407370916,14312.612168627811,25,20,5,1.4492911100387573,0.8600576503790417
72,331,16.0,1210.5138835906982,48.19373879120144,189769.7085541435,96506.9567301429,58417.39030204659,22502.29616898189,15581.428515508203,25,20,5,1.480538249015808,0.8799599445007041
73,332,16.0,1227.397216796875,49.75034964984484,195708.8899723171,99945.2552026299,59845.883532080006,23153.16047977128,16940.18630121455,26,21,5,1.5120407342910767,0.9001163861178597
74,333,16.0,1240.397216796875,50.701621721666605,193856.40779744412,103303.77682296322,61222.96369745538,23773.53645083397,18301.07462537187,26,21,5,1.5362118482589722,0.91554866772764
75,334,16.0,1253.397216796875,53.62393751335607,203669.77853796494,106860.8336266356,62658.801030945404,24416.583068640502,19779.061498895975,26,21,5,1.5602525472640991,0.9308827764377963
76,335,16.0,1266.397216796875,54.003350745489186,205666.8681566558,110428.90068812242,64073.709880713846,25048.95719287696,21299.660478526734,27,22,5,1.5844438076019287,0.9464548952065656
